"","lang","name","lnum","lon","precision","rank","feature","languages","link","time","lat","seen","type","id","myRank"
"1","ru","Террористический акт на Дубровке",32,37.673333333333,NA,3866,"ru","en|zh|af|vi|ca|it|ar|cs|et|es|ru|nl|pt|nb|th|pl|fr|bg|de|da|fa|fi|ja|he|ka|ko|sv|mk|sk|uk|sl|yue","http://stats.grok.se/ru/201506/Террористический акт на Дубровке",201506,55.725833333333,3041,"event","Q4670",4
"2","ru","Московский метрополитен",64,37.6214,0.01,900,"ru","udm|eo|en|zh|vi|ca|it|cs|cy|ar|pt-br|ga|eu|et|az|cv|es|en-gb|ru|gl|nl|nn|tt|tr|id|lv|lt|sco|th|he|pl|be-tarask|be|fr|bg|uk|sl|hr|bn|de|da|fa|fi|hy|hu|ja|en-ca|ka|ro|pt|uz|kk|sr|mn|ko|sv|sk|sh|kv|ms|mr|ky|mhr|nb","http://stats.grok.se/ru/201506/Московский метрополитен",201506,55.6376,8189,"other","Q5499",5
"3","ru","Красная площадь",76,37.62,NA,6331,"ru","vi|el|eo|en|zh|io|af|ko|is|it|cs|cy|ar|bg|ur|ga|gn|eu|et|az|id|es|ba|en-gb|ru|gl|nl|pt|la|udm|nb|tr|cv|lv|lt|pa|th|ti|ro|ca|pl|ta|be|fr|de|ku|en-ca|hr|fy|jv|bo|hu|fa|br|fi|hy|da|ja|he|ka|nn|bn|sr|oc|sv|mk|war|sk|kk|sh|be-tarask|uk|sl|pt-br|tt|vep","http://stats.grok.se/ru/201506/Красная площадь",201506,55.754166666667,3510,"topo","Q41116",4
"4","ru","Александро-Невская церковь",3,37.929166666667,0.00027777777777778,NA,"ru","ru|en|nl","http://stats.grok.se/ru/201506/Александро-Невская церковь",201506,55.797222222222,2,"religion","Q44074",1
"5","ru","Национальный исследовательский ядерный университет «МИФИ»",7,37.664444444444,NA,NA,"ru","ru|en|zh|ko|tr|zh-cn|uk","http://stats.grok.se/ru/201506/Национальный исследовательский ядерный университет «МИФИ»",201506,55.649722222222,1001,"education","Q56837",3
"6","ru","Битцевский лес",10,37.562777777778,0.00027777777777778,NA,"ru","ru|en|zh|de|sv|bg|et|cs|fi|ja","http://stats.grok.se/ru/201506/Битцевский лес",201506,55.63,622,"other","Q99296",3
"7","ru","Апрелевка",39,37.05,0.016666666666667,NA,"ru","eo|en|zh|oc|ca|it|ce|ar|io|et|az|en-gb|ru|nl|nn|nb|tl|lt|tg|ro|sah|war|pl|be|fr|de|sco|fa|fi|pnb|ja|en-ca|sr|ko|de-ch|ur|tt|uk|diq","http://stats.grok.se/ru/201506/Апрелевка",201506,55.533333333333,600,"other","Q103676",3
"8","ru","Главное разведывательное управление",34,37.524555555556,2.7777777777778e-06,1258,"ru","en|zh|ca|it|zh-hk|ar|cs|et|az|id|es|ru|nl|zh-tw|nb|tr|zh-cn|lt|pl|fr|bg|zh-sg|de|hu|fi|da|ja|he|zh-hans|ko|sv|zh-hant|uk|sl","http://stats.grok.se/ru/201506/Главное разведывательное управление",201506,55.7824,1721,"other","Q115782",3
"9","ru","Независимый Московский университет",5,37.5899,NA,NA,"ru","ru|eo|de|en|sl","http://stats.grok.se/ru/201506/Независимый Московский университет",201506,55.7464,181,"education","Q118736",2
"10","ru","Видное",33,37.7,0.016666666666667,NA,"ru","eo|en|zh|vi|ca|it|ce|ar|et|es|ru|nl|nn|nb|lv|tl|tg|ro|sah|war|pl|be|fr|de|fa|fi|pnb|ja|sr|ko|de-ch|uk|tt","http://stats.grok.se/ru/201506/Видное",201506,55.55,1024,"other","Q133075",3
